CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.03;Perda/Recuperação de Valores Ativos;-19488.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.04;Outros;35365.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.04;Outros;408041.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.04.01;Ganho (perda) líquido decorrente de mudança de valor justo dos ativos biológicos;35530.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.04.01;Ganho (perda) líquido decorrente de mudança de valor justo dos ativos biológicos;-39590.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.04.02;Reconhecimento (baixa) de valor justo de CBIOS;-165.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.04.02;Reconhecimento (baixa) de valor justo de CBIOS;19620.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.04.03;Ganho por compra vantajosa em controlada;0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.04.03;Ganho por compra vantajosa em controlada;428011.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.03;Valor Adicionado Bruto;1486574.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.03;Valor Adicionado Bruto;1983434.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.04;Retenções;-398083.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.04;Retenções;-574962.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.04.01;Depreciação, Amortização e Exaustão;-398083.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.04.01;Depreciação, Amortização e Exaustão;-574962.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.04.02;Outras;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.04.02;Outras;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.05;Valor Adicionado Líquido Produzido;1088491.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.05;Valor Adicionado Líquido Produzido;1408472.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06;Vlr Adicionado Recebido em Transferência;675784.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06;Vlr Adicionado Recebido em Transferência;820734.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.01;Resultado de Equivalência Patrimonial;16454.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.01;Resultado de Equivalência Patrimonial;7957.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.02;Receitas Financeiras;74176.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.02;Receitas Financeiras;161786.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.03;Outros;585154.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.03;Outros;650991.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.03.01;Ganho com variações cambiais;80087.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.03.01;Ganho com variações cambiais;42335.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.03.02;Ganho em operações com derivativos;505067.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.03.02;Ganho em operações com derivativos;608656.0000000000;N
